Product;Synonym
Aditivo Limpa Parabrisa;aditivo para lavagem de vidros, limpa vidros concentrado, solução para limpeza de para-brisa
Aditivo Limpa Radiador;aditivo para limpeza do radiador, aditivo para remoção de impurezas do radiador, aditivo de limpeza para arrefecimento
Aditivo Limpeza Interna;aditivo para limpeza do motor interno, aditivo para remoção de depósitos no motor, aditivo para limpeza de resíduos no motor
Aditivo para Câmbio;aditivo para transmissão, aditivo para lubrificação de câmbio, aditivo para redução de atrito em câmbio
Aditivo para Limpeza Interna do Motor;aditivo para limpeza do interior do motor, aditivo para remoção de carbonização no motor, aditivo para descontaminação do motor 
Aditivo para Motor;aditivo para melhorar desempenho do motor, aditivo para proteção de motor, aditivo para redução de emissões em motor
Aditivo para Motor a Diesel;aditivo para melhorar performance em motor diesel, aditivo para proteção de motor a diesel, aditivo para redução de emissões em motor diesel
Aditivo para Motor Corretivo;aditivo para correção de problemas no motor, aditivo para recuperação de motor, aditivo para restauração de motor
Aditivo para Óleo de Câmbio;aditivo para lubrificação de câmbio, aditivo para proteção de câmbio, aditivo para redução de desgaste em câmbio
Aditivo para Óleo de Motor;aditivo para melhorar desempenho do óleo de motor, aditivo para proteção de óleo de motor, aditivo para redução de emissões no óleo de motor
Aditivo para Radiador;aditivo para manutenção do radiador, aditivo para o sistema de arrefecimento, aditivo para o líquido do radiador
Aditivo para Tratamento de Motores Diesel;aditivo para tratamento de motor diesel, aditivo para manutenção de motor diesel, aditivo para proteção de motor diesel
Aditivo para Veículos Bicombustíveis;aditivo para etanol, aditivo para gasolina, aditivo para veículos flex
Aditivo Stop Leak;aditivo para vedação de vazamentos, aditivo para reparo de vazamentos, aditivo para selagem de vazamentos
Aditvo para Óleo de Motor;aditivo para melhorar desempenho do óleo de motor, aditivo para proteção de óleo de motor, aditivo para redução de emissões
Água Desmineralizada;água para bateria, solução para bateria, solução desmineralizada, água destilada, água purificada, água desionizada
Alavanca para Chave de Roda;prolongador de chave de roda, extensor de chave de roda, barra de apoio para chave de roda
Álcool Aerosol;spray de álcool, aerossol de álcool, atomizador de álcool
Álcool Automotivo Spray;spray de álcool automotivo, aerossol de álcool automotivo, atomizador de álcool automotivo
Álcool em Gel Antisséptico;gel antisséptico à base de álcool, gel higienizador de mãos, gel desinfetante de mãos
Álcool Gel;gel de álcool, gel antisséptico, gel desinfetante
Álcool Gel para as Mãos;gel de álcool para as mãos, gel antisséptico para as mãos, gel desinfetante para as mãos
Alicate Bomba D'Água;chave d'água, chave para bomba, pinça d'água
Alicate com Trava Serrote;alicate serrilhado, alicate com serrilha, pinça de serrilhar
Alicate Corta Arame;alicate de corte de arame, pinça cortadora de fio, alicate para cortar arame
Alicate Corte;alicate de corte, pinça de corte, alicate cortador
Alicate Corte Cabo Coaxial;alicate cortador de cabo coaxial, pinça de corte para cabo coaxial, alicate para corte de cabo coaxial
Alicate Corte Diagonal;alicate de corte diagonal, pinça de corte em diagonal, alicate para corte diagonal
Alicate Corte Frontal;alicate de corte frontal, pinça de corte frontal, alicate para corte frontal
Alicate Crimpador Cabo de Rede;pinça crimpadora de cabo de rede, tenazinha para crimpar cabo de rede, crimpador de cabo de rede, crimpador
Alicate Crimpador para Cabo Coaxial;alicate crimpador de cabo coaxial, pinça para crimpagem de cabo coaxial, alicate para crimpagem de cabo coaxial
Alicate da Trava da Homocinética;alicate para trava de homocinética, pinça para trava de homocinética, alicate para segurar homocinética
Alicate de Balanceamento de Rodas;alicate para balanceamento de rodas, pinça para balancear rodas, alicate para balanceamento de pneus
Alicate de Bico Chato;alicate com bico chato, pinça de bico chato, alicate de ponta chata
Alicate de Bico Meia Cana;alicate com bico meia-cana, pinça de bico meia-cana, alicate de ponta curvada
Alicate de Bico Redondo;alicate com bico redondo, pinça de bico redondo, alicate de ponta arredondada
Alicate de Corte;alicate de corte, pinça de corte, alicate cortador
Alicate de Corte Diagonal;alicate de corte diagonal, pinça de corte em diagonal, alicate para corte diagonal
Alicate de Pressão;alicate de pressão, pinça de pressão, torno de pressão
Alicate de Pressão Bico Curvo;alicate de pressão com bico curvo, pinça de pressão de ponta curvada, torno de pressão com bico curvo
Alicate Descascador de Fios;alicate decapador de fios, pinça para decapar fios, alicate para remover isolamento de fios
Alicate Desencapador de Cabo Coaxial;alicate decapador de cabo coaxial, pinça para decapar cabo coaxial, alicate para remover isolamento de cabo coaxial
Alicate Desencapador de Fios;alicate decapador de fios, pinça para decapar fios, alicate para remover isolamento de fios
Alicate Fixador de Ilhoses;alicate para fixar ilhoses, pinça para colocar ilhós
Alicate Mini Bico Cana;pinça mini bico cana, tenazinha mini bico cana
Alicate Mini Corte Diagonal;pinça mini corte diagonal, tenazinha mini corte diagonal
Alicate Mini Universal;pinça mini universal, tenazinha mini universal
Alicate para Abraçadeiras;pinça para abraçadeiras, tenazinha para abraçadeiras
Alicate para Anéis;pinça para anéis, tenazinha para anéis
Alicate para Anel e Trava Anti-Furto de Câmbio;pinça para anel e trava anti-furto de câmbio, tenazinha para anel e trava anti-furto de câmbio
Alicate para Cortar Arame;pinça para cortar arame, tenazinha para cortar arame
Alicate para Terminais;pinça para terminais, tenazinha para terminais
Alicate para Terminal;pinça para terminal, tenazinha para terminal
Alicate para Travas do Tipo Engate Rápido;pinça para travas do tipo engate rápido, tenazinha para travas do tipo engate rápido
Alicate Pressão;pinça de pressão, tenazinha de pressão
Alicate Profissional para Cortar;pinça profissional para cortar, tenazinha profissional para cortar, alicate para corte profissional
Alicate Rebitador;pinça rebitadora, tenazinha rebitadora, alicate para rebite
Alicate Universal;pinça universal, tenazinha universal
Alicate Vazador;pinça vazador, tenazinha vazador
Alojamento da Válvula Termostática;caixa da válvula termostática, carcaça da válvula termostática, suporte da válvula termostática
Alto-Falante;caixa acústica, falante, speaker
Alto-Falante Quadriaxial;falante quadruplo, sistema de 4 vias, alto-falante de 4 cones
Alto-Falante Triaxial;falante triplo, sistema de 3 vias, alto-falante de 3 cones
Alto-Falantes;caixas acústicas, falantes, speakers
Antena;receptor, captação de sinal, transmissor
Antena Caminhão;antena para veículo de carga, antena automotiva, antena para caminhão
Antena de Teto;antena de teto automotivo, antena externa do veículo
Antena Decorativa;antena de design, antena estética, antena ornamental
Antena Especial;antena customizada, antena personalizada
Antena Interna;antena para uso interno, antena para ambientes internos, antena indoor
Antena Interna para Tv Digital;antena interna de tv, antena para recepção de sinal digital, antena para tv indoor
Antena Móvel;antena portátil, antena para uso em movimento, antena para veículo
Antena New Shark;antena tubarão, antena shark, antena nova tubarão
Antena para Parabrisa;antena para pára-brisa, antena veicular para-brisa, antena para automóveis
Antena para Rádio;antena fm, antena para recepção de rádio, antena de rádio fm
Antena para Tv;antena de tv, antena para recepção de sinal de tv, antena de tv digital
Antena Shark;antena em forma de tubarão, antena shark fin, antena com formato de barbatana de tubarão, antena tubarão
Antena Sport Tubarão;antena tubarão esportiva, antena tubarão para carros esportivos, antena tubarão automotiva
Antena Teto Decorativa;antena decorativa para teto, antena estética para telhado, antena decorativa para teto veicular
Antena Vareta;antena telescópica, antena de haste, antena de vara
Anti Respingo para Solda;anti respingo de solda, anti respingo para soldagem, spray anti respingo para solda
Anti-Embaçante;antiembaçante para vidros, repelente de água para vidros, solução antifog
Aparelho Aromatizador;difusor de aroma, dispositivo de aromatização, aromatizador eletrônico
Aparelho de Som;sistema de áudio, equipamento de som, sistema sonoro
Aparelho de Som Mp3;reprodutor de música mp3, player mp3, dispositivo de áudio mp3
Aparelho de Som Mp4;reprodutor de música mp4, player mp4, dispositivo de áudio mp4
Aparelho de Som Rádio;rádio automotivo, rádio de carro, aparelho de rádio
Aplicador de Silicone;aplicador de massa de silicone, aplicador de selante, aplicador de vedante
Araldite;adesivo araldite, resina epóxi, cola epóxi
Aromatizador Ambiente;aromatizador de ambiente, difusor de fragrância, perfumador de ambiente
Aromatizante;fragrância, perfume de ambiente, essência aromática
Aromatizante Aerossol;spray aromatizante, aromatizador em spray, desodorizador de ambientes em aerossol
Aromatizante Anti Tabaco;neutralizador de odor de cigarro, aromatizante antifumo, desodorizador para ambientes com cheiro de tabaco
Aromatizante Cheirinho;aromatizante perfumado, fragrância aromática, aroma suave
Aromatizante com Aroma;aromatizante perfumado, fragrância aromática, aroma suave
Aromatizante de Ambiente;aromatizador de ambiente, perfumador de ambiente, difusor de aroma para ambientes
Aromatizante em Gel;aromatizador em gel, perfumador em gel, difusor de fragrância em gel
Aromatizante Folhinha;aromatizador de folhinha, perfumador em folhinha, difusor de fragrância em papel
Aromatizante Gel;aromatizador em gel, perfumador em gel, difusor de fragrância em gel
Aromatizante Miniatura;fragrância em tamanho pequeno, perfume em versão mini, essência compacta
Aromatizante Natuar;fragrância natural, perfume botânico, essência orgânica
Aromatizante para Climatizador;fragrância para ar condicionado, perfume para ar refrigerado, essência para climatização
Aromatizante Refil;recarga de fragrância, reposição de perfume, refil de essência
Aromatizante Sachê;perfume em saquinho, fragrância em bolsinha, essência em sachê
Aromatizante Spray;perfume em spray, fragrância em pulverizador, essência em aerossol
Aromatizante Stop;perfume neutralizador, fragrância eliminadora, essência bloqueadora
Aromatizante Tira Cheiro;fragrância que elimina odores, perfume que neutraliza cheiros, essência que tira maus odores
Arruela Cônica de Pressão de Roda;arruela cônica de roda, arruela de pressão de roda, arruela de roda
Aspirador de Pó;coletor de pó, equipamento de limpeza, máquina de aspiração
Aspirador de Pó Portátil;coletor de pó portátil, equipamento de limpeza portátil, máquina de aspiração portátil
Auto Silicone Gel;gel de silicone, pasta de silicone, silicone em bisnaga
Avental para Ferramentas;avental para trabalho, colete porta-ferramentas, colete multi-bolsos
Barreira Pet;grade de segurança para pets, portão para animais, cerca para cães
Bastão de Cola Quente;cola quente, bastão de cola, adesivo termoplástico
Baú para Ferramentas;caixa baú para ferramentas, maleta baú para ferramentas, baú organizador para ferramentas
Bico de Roda;extremidade da roda, bocal da roda, bico para inflar pneu
Bico do Pneu;extremidade do pneu, bocal do pneu, bico para inflar roda
Bico Roda;extremidade da roda, bocal da roda, bico para inflar pneu
Bisnaga de Silicone em Gel;renovador de painel, revitalizador de painel de carro, revitalizador de plástico
Bolsa Multiuso;bolsa versátil, bolsa multifuncional, bolsa para múltiplas finalidades
Bolsa para Ferramenta;bolsa porta-ferramentas, bolsa organizadora para ferramentas, bolsa para carregar ferramentas
Brilho para Pneus;pneu pretinho, brilho molhado, brilho gel
Bucha da Coluna ;bucha de suspensão, bucha de fixação, bucha de borracha
Bucha de Fixação do Parachoque;bucha de fixação do para-choque, bucha de proteção, bucha de amortecimento
Cabo Alimentação Rádio ;cabo de alimentação para rádio, cabo de força para rádio, cabo de energia para rádio
Cabo Articulado para Encaixe;cabo flexível para soquetes, cabo articulado para soquetes, cabo giratório para encaixe de soquete
Cabo Automotivo Flexível;cabo flexível para carros, cabo de ligação automotivo flexível, cabo elétrico flexível para automóveis
Cabo Auxiliar P2;cabo de áudio p2 auxiliar, cabo p2 para entrada auxiliar, cabo para conexão de áudio p2, cabo auxiliar
Cabo Blindado;cabo com blindagem, cabo de áudio blindado, cabo de dados blindado
Cabo Blindado RCA;cabo com blindagem rca, cabo de áudio blindado rca, cabo de vídeo blindado rca
Cabo Coaxial;cabo coax, cabo de sinal, cabo de transmissão
Cabo de Aço para Catraca;cabo de aço com catraca, cabo de aço para tensionamento, cabo de aço com trava
Cabo de Áudio;cabo para áudio, cabo para som, cabo de ligação de áudio
Cabo de Extensão para Antena de Teto;cabo para antena de teto, cabo extensor, cabo prolongador
Cabo de Fio Pararelo;cabo paralelo, cabo de fio duplo, cabo elétrico paralelo
Cabo de Fio Pararelo para Alto-Falantes;cabo para alto-falantes, cabo de áudio paralelo para caixas de som, cabo para conexão de alto-falantes
Cabo de Fio Pararelo para Caixa Selada;cabo de fio paralelo para caixa acústica, cabo de fio paralelo para subwoofer, cabo de ligação para caixa selada
Cabo de Força;cabo de alimentação, cabo de energia, cabo de eletricidade
Cabo de Força para Soquetes;cabo de alimentação para soquetes, cabo elétrico para soquetes, cabo de energia para soquetes
Cabo de Interface para Ipod;cabo de conexão para ipod, cabo de interface para iphone, cabo de ligação para ipod
Cabo de Nylon Micro Usb;cabo de nylon para micro usb, cabo de carregamento micro usb, cabo micro usb reforçado
Cabo Duplo;cabo bifilar, cabo para som estéreo, cabo de ligação dupla
Cabo Espiral Type C;cabo de carregamento espiral tipo c, cabo de dados espiral tipo c, cabo espiral usb tipo c
Cabo Extensor USB;cabo de extensão usb, cabo prolongador usb, cabo de aumento usb
Cabo Flex;cabo flexível, cabo flexível para som, cabo flexível de energia
Cabo Hdmi;cabo de alta definição, cabo de vídeo hdmi, cabo de áudio e vídeo hdmi
Cabo Magnético;cabo de conexão magnética, cabo de carga magnética, cabo de dados magnético
Cabo Micro Usb;cabo de conexão micro usb, cabo de carregamento micro usb, cabo de dados micro usb
Cabo Mini Hdmi;cabo de áudio e vídeo mini hdmi, cabo hdmi pequeno, cabo de conexão mini hdmi
Cabo P3 Estéreo;cabo de conexão p2/p3, cabo de áudio p3, cabo de som estéreo
Cabo P3 Usb;cabo de conexão p2/p3 usb, cabo de áudio p3 usb, cabo de som estéreo usb
Cabo para Engate;cabo para reboque, cabo para tomada de engate, cabo de ligação para engate
Cabo para Iphone;cabo de conexão para iphone, cabo de carregamento para iphone, cabo de dados para iphone
Cabo para Ipod;cabo de conexão para ipod, cabo de carregamento para ipod, cabo de dados para ipod
Cabo para Rádio;cabo de conexão, cabo de áudio, cabo de comunicação
Cabo Rca;cabo de áudio rca, cabo de vídeo rca, cabo de conexão rca
Cabo Rca Reto;cabo rca linear, cabo de ligação rca reto, cabo rca simples
Cabo RCA Y;cabo de áudio e vídeo rca y, cabo de conexão rca divisor, cabo de ligação rca com divisor y
Cabo Unifilar;cabo simples, cabo de fio único, cabo monocondutor
Cabo Usb;cabo de conexão usb, cabo de carregamento usb, cabo de dados usb
Cabo Usb para Iphone;cabo de conexão usb para iphone, cabo de carregamento usb para iphone, cabo de dados usb para iphone
Cabo Usb para Mini;cabo de conexão usb para mini, cabo de carregamento usb para mini, cabo de dados usb para mini
Cabo Y Rca;cabo de áudio, cabo de som, cabo de sinal
Caixa de Ferramenta;caixa para ferramentas, maleta de ferramentas, caixa organizadora de ferramentas
Caixa de Ferramenta Baú;baú para ferramentas, caixa organizadora para ferramentas, maleta baú para ferramentas
Caixa de Metal;caixa metálica, maleta de metal, baú de meta
Caixa para Ferramentas;caixa para guardar ferramentas, caixa organizadora para ferramentas, caixa de ferramentas
Caixa para Furadeira;caixa para guardar furadeira, maleta para furadeira, caixa organizadora para ferramentas elétricas
Caixa Plástica;caixa de plástico, maleta de plástico, caixa organizadora de plástico
Caixa Plástica Organizadora;caixa organizadora de plástico, maleta de plástico com divisórias, caixa para guardar objetos de plástico
Caixa Plástica para Furadeira;maleta para furadeira de plástico, caixa para ferramenta elétrica de plástico, caixa organizadora para ferramenta de plástico
Calota;calota, cubo de roda, tampa de roda
Caneta Tira Riscos;caneta corretiva, caneta de retoque, caneta restauradora
Capa de Proteção do Banco;capa protetora para banco, protetor de banco
Capa de Proteção para Banco;capa para banco, capa para bancos, conjunto de capas para bancos
Capa de Volante;capa de volante, protetor de volante, cobertura de volante
Capa para Banco;capa para bancos, conjunto de capas para bancos
Capa para Bico de Pneu;proteção para bico de pneu, cobertura para bocal de pneu, capa para bico de roda
Capa para Encosto de Cabeça;protetor de encosto de cabeça, capa protetora para banco, capa de proteção para assento
Capa para Manutenção do Mecânico;capa para manutenção do mecânico, capa protetora para mecânico, avental para mecânico
Capa para Sofá Cama;capa para sofá cama, capa protetora para sofá cama, protetor para sofá cama
Capa Protetora para Banco;capa para bancos, conjunto de capas para bancos
Castanha de Roda;porca de roda, rosca de roda, parafuso de roda
Catraca Fixa;chave de catraca fixa, catraca de encaixe fixo, chave catraca de posição fixa
Catraca Montada;catraca com encaixe montado, chave de catraca montada, catraca de encaixe com suporte
Catraca Móvel;chave de catraca móvel, catraca com encaixe móvel, catraca de encaixe articulado
Central Multimídia;central de entretenimento, sistema multimídia, unidade principal
Central Multimídia;sistema de entretenimento, estação de áudio e vídeo, console multimídia
Cera;cera automotiva, cera de carro, cera para pintura
Cera em Pasta;cera sólida, cera dura
Cera Líquida;cera fluida, cera em spray
Cera Massa para Polir;cera líquida, cera polidora, cera para polimento à água, cera de acabamento, cera de lustro
Cera Pasta;cera cremosa, cera macia
Chave Allen;chave hexagonal, chave sextavada, chave de encaixe hexagonal
Chave Biela;chave de braço, chave para motor, chave de biela e manivela
Chave Bits Ponta Phillips;chave de fenda phillips, chave de parafuso phillips, chave philips
Chave Canhão;chave de boca, chave combinada, chave de encaixe canhão
Chave com Cabo Articulado;chave com cabo flexível, chave com cabo giratório, chave com haste articulada
Chave com Cabo Emborrachado;chave com cabo emborrachado, chave ergonômica, chave de cabo emborrachado
Chave Combinada;chave de boca e estrela, chave de boca e cachimbo, chave de boca dupla
Chave de Fenda;chave de fenda, chave de parafusos, chave de cabeça chata
Chave de Roda;chave cruz, chave de porca de roda, chave de troca de pneus
Chave de Soquete;chave de encaixe, chave de soquete estriada, chave de soquete sextavada
Chave de Teste de Polaridade;testador de circuitos, testador de voltagem, testador elétrico
Chave de Vela;chave de ignição, chave de velas, chave de vela de ignição
Chave Estrela;chave de anel, chave de luva, chave de estriado
Chave Extenção para Soquete;extensão para chave de soquete, barra extensora para soquete, cabo extensor para soquete
Chave Fixa;chave de boca fixa, chave de anel fixa, chave estriada fixa
Chave L;chave de ponta dupla em l, chave de cachimbo em l, chave hexagonal em l
Chave para Mandril;chave para mandril, chave de aperto para mandril, chave para broca
Chave Philips;chave phillips, chave de parafusos phillips, chave de ponta cruzada
Chave Soquete;chave de encaixe, chave de soquete estriada, chave de soquete sextavada
Chave Tipo Ninja;chave de catraca, chave inglesa, chave ajustável
Chave Torx;chave estrela, chave de encaixe estrela, chave torx estrela
Chave Torx;chave de encaixe torx, chave de soquete torx, chave de parafuso torx
Cheirinho;fragrância suave, perfume agradável, aroma delicado
Chicote;conjunto de fios, feixe de cabos, cablagem
Cinta Catraca;cinta com catraca, cinta de amarração com catraca, cinta de aperto com catraca
Cinta com Catraca;cinta para amarração de carga, fita de amarração, cinta de fixação
Cinta de Amarração;cinta de carga, cinta de fixação de carga, cinta de transporte de carga
Cinta de Amarração de Carga;cinta de fixação de carga, cinta de transporte de carga, cinta de aperto de carga
Cinta de Carga;cinta com catraca para carga, cinta de amarração com catraca, cinta de fixação de carga com catraca
Cinta para Amarração de Carga;corda de elástico, fio de elástico, elástico para fixação
Cinta para Carga com Catraca;cordão de elástico aranha, rede elástica, elástico com ganchos
Cinturão para Ferramentas;cinto porta-ferramentas, cinto multi-bolsos, cinto organizador de ferramentas
Cola Adesiva;adesivo, cola, adesivo multiuso
Cola de Silicone;adesivo de silicone, cola de vedação, selante de silicone
Cola Fixa Tudo;cola multiuso, cola para tudo, adesivo fixador
Cola Instantanêa;super bonder, cola de secagem rápida, adesivo instantâneo
Cola Madeira;cola para madeira, adesivo para marcenaria, cola para carpintaria
Cola para Artesanato;adesivo para artesanato, cola para papel, cola para scrapbook
Cola para Parabrisa;cola para vidro automotivo, adesivo para parabrisa, cola de alta resistência
Cola para Silicone;cola de silicone, adesivo de silicone, selante de silicone
Cola Poxipol;poxipol, adesivo epóxi, cola para plásticos
Cola Silicone Alta Temperatura;cola de silicone para alta temperatura, adesivo de silicone resistente ao calor, selante de silicone para temperaturas elevadas
Cola Spray Permanente;spray adesivo permanente, cola em aerossol permanente, adesivo em lata permanente
Cola Spray Reposicionável;spray adesivo reposicionável, cola em aerossol reposicionável, adesivo em lata reposicionável
Cola Tudo Multiuso;cola multiuso, cola para tudo, adesivo universal
Cola Universal;cola multiuso, cola para tudo, adesivo universal
Cola Vinil;cola para artesanato, cola de contato, cola branca
Coldre de Cinto para Parafusadeira;coldre para parafusadeira de cinto, bolsa de cinto para ferramenta elétrica, cinto organizador de ferramenta elétrica
Condicionador de Metais;aditivo de metais, tratamento para metais, protetor de metais
Cone da Mola;cone para suspensão, cone de amortecimento, cone da bobina
Conector Arrefecimento;conexão de refrigeração, adaptador de arrefecimento, engate de arrefecimento
Conector da Mangueira da Válvula Termostática;conexão da mangueira da válvula termostática, adaptador da mangueira da válvula termostática, engate da mangueira da válvula termostática
Conector da Mangueira de Combustível;conexão da mangueira de combustível, adaptador da mangueira de combustível, engate da mangueira de combustível
Conector da Mangueira T;conexão em t da mangueira, adaptador em t da mangueira, engate em t da mangueira
Conector de Arrefecimento;conexão de arrefecimento, adaptador de arrefecimento, engate de arrefecimento
Conector de Combustível;conexão de combustível, adaptador de combustível, engate de combustível
Conector de Mangueira Y;conexão em y da mangueira, adaptador em y da mangueira, engate em y da mangueira
Conector do Cano do Sensor Temperatura;conexão do cano do sensor de temperatura, adaptador do cano do sensor de temperatura, engate do cano do sensor de temperatura
Conector do Coletor de Admissão;conexão do coletor de admissão, adaptador do coletor de admissão, engate do coletor de admissão
Conector do Compressor de Ar;conexão do compressor de ar, adaptador do compressor de ar, engate do compressor de ar
Conector do Cotovelo da Saída da Válvula Termostática;conexão do cotovelo de saída da válvula termostática, adaptador do cotovelo de saída da válvula termostática, engate do cotovelo de saída da válvula termostática
Conector do Engate da Mangueira da Flauta;conexão do engate da mangueira da flauta, adaptador do engate da mangueira da flauta, engate do engate da mangueira da flauta
Conector do Engate Rápido;conexão do engate rápido, adaptador do engate rápido, engate rápido
Conector Fêmea;conexão fêmea, adaptador fêmea, engate fêmea
Conector Fêmea do Flexível ;conexão fêmea do flexível, adaptador fêmea do flexível, engate fêmea do flexível
Conector Macho;conexão macho, adaptador macho, engate macho
Conector Macho com Anel;conexão macho com anel, adaptador macho com anel, engate macho com anel
Conector Macho com Porca;conector roscado, conector de parafuso, conector com rosca
Conector para Fios;terminal, plugue, emenda
Conector Pequeno da Flauta;conector de flauta, conector de tubo fino, conector de tubo pequeno
Conector Redutor da Válvula de Freio;conector de redução de válvula de freio, conector adaptador de válvula de freio, conector de redução de pressão de freio
Conector Redutor Macho;conector de redução macho, conector adaptador macho, conector de encaixe redutor
Conector Reto da Mangueira de Combustível;conector de mangueira de combustível reto, conector de tubo de combustível reto, conector de encaixe reto
Conector T;conector em t, conector triangular, conector de derivação
Conector União Y;conector de união em y, conector de y duplo, conector de derivação em y
Conector Y;conector em y, conector de união em y, conector de derivação em y
Conexão Cotovelo da Buzina;conector cotovelo da buzina, conexão em ângulo da buzina, cotovelo para buzina
Conexão Cotovelo da Saída da Válvula Termostática;conector cotovelo da saída da válvula termostática, conexão em ângulo da válvula termostática, cotovelo para saída da válvula termostática
Conexão Cotovelo de Engate Rapido;conector cotovelo de engate rápido, conexão em ângulo de engate rápido, cotovelo para engate rápido
Conexão Cotovelo Macho;conector cotovelo macho, conexão em ângulo macho, cotovelo com rosca macho
Conexão da Bomba D'Água;conector da bomba d'água, conexão da bomba de água, conector de entrada da bomba d'água
Conexão da Carcaça da Válvula Termostática;conector da carcaça da válvula termostática, conexão da carcaça da válvula de temperatura, conector de entrada da válvula termostática
Conexão da Cuíca;conector da cuíca, conexão da mangueira da cuíca, conector de entrada da cuíca
Conexão da Mangueira;conector da mangueira, conexão da tubulação, conector de entrada da mangueira
Conexão da Mangueira de Combustível;conector da mangueira de combustível, conexão da tubulação de combustível, conector de entrada da mangueira de combustível
Conexão da Válvula Distribuidora;conector da válvula distribuidora, conexão da válvula de distribuição
Conexão da Válvula Termostática;conexão de termostato, conexão do sensor de temperatura, conexão de controle de temperatura
Conexão de Combustível;conexão de combustível de alta pressão, conexão de injeção de combustível, conexão de linha de combustível
Conexão de Engate Rápido;conexão de encaixe rápido, conexão de conector rápido, conexão de acoplamento rápido
Conexão de Freio;conexão de linha de freio, conexão de tubo de freio, conexão hidráulica de freio
Conexão de Plástico Y;conexão de t-y, conexão de divisor de fluxo, conexão de ramificação em y
Conexão de Relógio Temperatura;conexão do termômetro, conexão do medidor de temperatura, conexão de sensor de temperatura
Conexão de União;conexão de junção, conexão de conector, conexão de ligação
Conexão do Acoplamento da Mangueira;conexão de encaixe de mangueira, conexão de conector de mangueira, conexão de acoplador de mangueira
Conexão do Adaptador da Mangueira Bomba;conexão de adaptador de bomba de mangueira, conexão de encaixe adaptador de mangueira, conexão de conector adaptador de mangueira
Conexão do Adaptador do Encanamento de Combustível;conexão de adaptador de linha de combustível, conexão de encaixe adaptador de tubo de combustível, conexão de conector adaptador de encanamento de combustível
Conexão do Cano de Retorno do Cabeçote;conexão de tubo de retorno do cabeçote, conexão de encanamento de retorno do cabeçote, conexão de linha de retorno do cabeçote
Conexão do Cilindro Mestre;conexão do reservatório de fluido de freio, conexão do sistema de freio, conexão de pressão de freio
Conexão do Coletor;conexão de coletor de admissão, conexão de coletor de escape, conexão de coletor de ar
Conexão do Coletor de Admissão;conexão de tubo de admissão, conexão de entrada de ar, conexão de conector de admissão
