Product;Synonym
Alavanca de Regulagem do Volante;alavanca de ajuste do volante, alavanca de posicionamento do volante, alavanca de regulagem de altura do volante;sim
Alavanca de Seleção;alavanca de mudança, alavanca do câmbio, alavanca de engate;sim
Alavanca de Seleção de Marcha;alavanca de mudança, alavanca do câmbio, alavanca de engate;sim
Alavanca de Seleção do Trambulador;alavanca de mudança, alavanca do câmbio, alavanca de engate;sim
Alavanca de Seta;alavanca de indicador de direção, alavanca de pisca-pisca, alavanca de setas;sim
Alavanca do Câmbio;alavanca de mudança, alavanca de seleção, alavanca de engate;sim
Alavanca do Conjunto do Trambulador;alavanca de mudança, alavanca do câmbio, alavanca de engate;sim
Alavanca do Contra Peso;contra peso da alavanca do câmbio, pêndulo da alavanca do câmbio, contrapeso da manopla do câmbio;sim
Alavanca do Eixo do Trambulador;alavanca de mudança, alavanca do câmbio, alavanca de seleção;sim
Alavanca do Engate Lateral;alavanca de mudança, alavanca do câmbio, alavanca de seleção;sim
Alavanca do Limpador de Para-brisas;alavanca de acionamento do limpador, alavanca do limpador de parabrisa, alavanca do limpador do para-brisa;sim
Alavanca do Piloto Automático;alavanca de controle de velocidade, alavanca do cruise control, alavanca do piloto automático;sim
Alavanca do Tensor Guia da Corrente;alavanca do tensor da corrente, alavanca do tensor de comando, alavanca guia da corrente de comando;sim
Alavanca do Trambulador;haste do câmbio, alavanca de mudança, alavanca de engate;sim
Alavanca Fixadora da Embreagem;alavanca da embreagem, alavanca do pedal, alavanca do cilindro mestre;sim
Alavanca Freio de Mão;maneco de freio;sim
Alavanca Guia do Tensor da Distribuição;alavanca do tensor da correia dentada, alavanca do tensor da corrente, alavanca do tensor da correia;sim
Alavanca Inibidora de Ré;trava da marcha ré, alavanca de bloqueio, alavanca do limitador de ré;sim
Alavanca Parcial do Câmbio;alavanca do seletor de marcha, alavanca do engate, alavanca do selecionador;sim
Alavanca Seletora do Câmbio;alavanca do trambulador, alavanca do seletor de velocidade, alavanca do conjunto do trambulador;sim
Alavanca Seletora do Trambulador;alavanca do câmbio, alavanca do seletor de marcha, alavanca do engate lateral;sim
Alça da Coluna;alça de segurança, alça de teto, puxador da coluna;sim
Alça da Tampa do Motor;alça do capô, puxador do capô, alça da grade;sim
Alça de Apoio do Teto;alça de teto, alça de segurança, puxador do teto, puta que pariu, pqp;sim
Alça de Teto;alça de segurança, puxador do teto, puta que pariu, pqp;sim
Alça do Capô;alça da grade, alça da tampa do motor, puxador do capô;sim
Alça do Painel;puxador do painel, alça de teto, alça de segurança;sim
Alojamento da Alavanca do Câmbio;caixa do câmbio, carcaça do câmbio, alojamento do trambulador;sim
Alternador;gerador, dinamo, motor elétrico;sim
Amortecedor;absorvedor de impacto, amortecimento, mola a gás;sim
Amortecedor da Grade;absorvedor de impacto, amortecimento, mola a gás;sim
Amortecedor da Tampa;absorvedor de impacto, amortecimento, mola a gás;sim
Amortecedor da Tampa do Porta-malas;amortecedor de porta-malas, mola a gás, absorvedor de impacto;sim
Amortecedor de Estepe;absorvedor de impacto, amortecimento, mola a gás;sim
Amortecedor de Porta-malas;amortecedor da tampa do porta-malas, mola a gás, absorvedor de impacto;sim
Amortecedor de Suspensão;absorvedor de impacto, amortecimento, mola a gás;sim
Amortecedor do Vidro do Porta Malas;absorvedor de impacto, amortecimento, mola a gás;sim
Anéis de Pistão;anéis de segmento, anéis de compressão, anel de motor;sim
Anel Adaptador da Coifa lado Câmbio;anel da coifa, anel da caixa de câmbio, adaptador do câmbio;sim
Anel Bucha Guia da Barra da Coluna Direção;bucha guia da coluna de direção, anel de guia da coluna de direção, anel guia da coluna de direção;sim
Anel Calço do Coxim do Câmbio;calço do coxim do câmbio, anel de calço do coxim do câmbio, anel do coxim do câmbio;sim
Anel da Alavanca do Câmbio;anel da base da alavanca do câmbio, anel da fixação da alavanca do câmbio, anel de retenção da alavanca do câmbio;sim
Anel da Bóia do Tanque;anel de fixação da bóia do tanque, anel de vedação da bóia do tanque, anel da bóia do tanque de combustível;sim
Anel da Bomba D'água;anel de vedação da bomba d'água, anel da fixação da bomba d'água, anel de retenção da bomba d'água;sim
Anel da Bomba de Óleo;anel de vedação da bomba de óleo, anel de fixação da bomba de óleo, anel de retenção da bomba de óleo;sim
Anel da Bomba Hidráulica;anel de vedação da bomba hidráulica, anel de fixação da bomba hidráulica, anel de retenção da bomba hidráulica;sim
Anel da Camisa;anel de vedação da camisa, anel de fixação da camisa, anel de retenção da camisa;sim
Anel da Caneca da Reduzida;anel de vedação da caneca da reduzida, anel de fixação da caneca da reduzida, anel de retenção da caneca da reduzida;sim
Anel da Coluna de Direção;anel guia da coluna de direção, anel de fixação da coluna de direção, anel de vedação da coluna de direção;sim
Anel da Flange do Bloco do Motor;anel de vedação da flange do bloco do motor, anel da junta do coletor de admissão, anel da flange da bomba de água;sim
Anel da Flange do Comando;anel da junta do comando, anel da flange da bomba de óleo, anel de vedação do comando;sim
Anel da Flange do Eixo Piloto do Câmbio;anel da flange do virabrequim, anel da flange do câmbio, anel de vedação do eixo piloto;sim
Anel da Tampa da Inspeção;anel da tampa do distribuidor, anel da tampa da bomba de combustível, anel da tampa da bomba de óleo;sim
Anel da Tampa D'água;anel de vedação da tampa d'água, anel da tampa do radiador, anel da tampa do termostato;sim
Anel da Tampa de Óleo;anel da tampa do cárter, anel de vedação da tampa do óleo, anel da tampa do filtro de óleo;sim
Anel da Tampa do Filtro de Combustível;anel de vedação da tampa do filtro de combustível, anel da tampa do reservatório de combustível, anel da tampa do tanque de combustível;sim
Anel da Tampa do Filtro de Óleo;anel de vedação da tampa do filtro de óleo, anel da tampa do filtro de ar, anel da tampa do filtro de combustível;sim
Anel da Tampa do Reservatório de Direção;anel da tampa do reservatório de fluido de freio, anel da tampa do reservatório de óleo do motor, anel da tampa do reservatório de água do radiador;sim
Anel da Tampa do Virabrequim;anel de vedação do virabrequim, anel da tampa do carter, anel da tampa do filtro de óleo do motor;sim
Anel da Tampa Lateral do Câmbio;anel da tampa do cárter do câmbio, anel de vedação da tampa lateral do câmbio, anel da tampa do carter do diferencial;sim
Anel da Tomada de Força;anel da flange da tomada de força, anel de vedação da tomada de força, anel de fixação da tomada de força;sim
Anel da Turbina de Admissão;anel de vedação da turbina de admissão, anel da junta da turbina de admissão, anel da flange da turbina de admissão;sim
Anel da Válvula de Alívio;anel de vedação da válvula de alívio, anel da válvula de escape, anel da válvula de admissão;sim
Anel da Válvula do Servo Freio;anel de vedação da válvula do servo freio, anel da válvula reguladora de pressão, anel da válvula de alívio do freio;sim
Anel de Ajuste do Pino de Comando de Válvulas;anel de comando de válvulas, anel de regulagem do comando de válvulas, anel de ajuste do pino de comando;sim
Anel de Borracha Alavanca do Câmbio;anel de vedação da alavanca de câmbio, anel de borracha do seletor de marchas, anel de borracha do trambulador;sim
Anel de Borracha Aro Radiador;anel de vedação do radiador, anel de borracha do tanque do radiador, anel de borracha do flange do radiador;sim
Anel de Borracha Vedação Admissão;anel de vedação do coletor de admissão, anel de borracha do coletor de admissão, anel o-ring da admissão;sim
Anel de Borracha Vedador da Hélice do Ventilador;anel de vedação da hélice do ventilador, anel de borracha do eixo do ventilador, anel o-ring da hélice do ventilador;sim
Anel de Borracha Vedador do Aro da Hélice do Ventilador;anel de vedação do aro da hélice do ventilador, anel de borracha do suporte da hélice do ventilador, anel o-ring do aro da hélice do ventilador;sim
Anel de Borracha Vedador do Aro Defletor;anel de vedação do aro defletor, anel de borracha do suporte do aro defletor, anel o-ring do aro defletor;sim
Anel de Borracha Vedador do Aro do Radiador;anel de vedação do aro do radiador, anel de borracha do suporte do aro do radiador, anel o-ring do aro do radiador;sim
Anel de Borracha Vedador do Bujão do Cárter do Motor;anel de vedação do bujão do cárter, anel de borracha do parafuso do cárter, anel o-ring do bujão do cárter;sim
Anel de Borracha Vedador do Resfriador do Óleo;anel de vedação do resfriador de óleo, anel de borracha do suporte do resfriador de óleo, anel o-ring do resfriador de óleo;sim
Anel de Vedação;anel o-ring, anel de borracha, anel de vedação de óleo;sim
Anel do Acabamento do Cilindro de Ignição;anel do cilindro de ignição, anel de vedação do cilindro de ignição, anel o-ring do cilindro de ignição;sim
Anel do Acoplamento da Bomba Injetora;anel do acoplamento de injeção, anel de vedação do acoplamento de injeção, anel o-ring do acoplamento de injeção;sim
Anel do Anti-Chama;junta antichama, anel de vedação antichama, anel de borracha antichama;sim
Anel do Arrefecimento;anel de vedação do radiador, anel de vedação do termostato, anel do flange de arrefecimento;sim
Anel do Bocal do Tanque;anel de vedação do bocal, anel de vedação da tampa do tanque, anel de borracha do bocal;sim
Anel do Calço da Bucha da Bandeja;anel da bucha da bandeja, anel de borracha do calço, anel de vedação do amortecedor;sim
Anel do Cano D'água;anel de vedação do cano de água, anel de borracha do cano de água, anel de vedação do cano do radiador;sim
Anel do Cano de Lubrificação;anel de vedação do cano de óleo, anel de vedação do cano de lubrificação, anel de borracha do cano de óleo;sim
Anel do Cano de Óleo do Motor;anel de vedação do cano de óleo, anel de borracha do cano de óleo, anel do conector de óleo;sim
Anel do Carburador;anel de vedação do carburador, anel de borracha do carburador, anel do flange do carburador;sim
Anel do Cavalete D'água;anel de vedação do cavalete d'água, anel de borracha do cavalete d'água, anel de vedação da flange do cavalete;sim
Anel do Cilindro Acumulador de Frieo;anel de vedação do cilindro de acumulação, anel de borracha do cilindro de frio, anel de vedação do cilindro de ar;sim
Anel do Comando de Vávulla de Escape;anel de vedação do comando de escape, anel de borracha do comando de escape, anel do comando de válvulas de descarga;sim
Anel do Compressor;anel de vedação do compressor, anel de borracha do compressor, anel de vedação do flange do compressor;sim
Anel do Cubo de Roda;anel de vedação do cubo de roda, anel de borracha do cubo de roda, anel do flange do cubo;sim
Anel do Cubo Redutor;anel de vedação do cubo redutor, anel de borracha do cubo redutor, anel do flange do cubo redutor;sim
Anel do Escapamento;anel de vedação do escapamento, anel de borracha do escapamento, anel de vedação da flange do escapamento;sim
Anel do Filtro de Combustível;anel de vedação do filtro de combustível, anel de borracha do filtro de combustível, anel do flange do filtro de combustível;sim
Anel do Furo do Reservatório do Limpador;anel de vedação do furo do reservatório, anel de borracha do furo do reservatório, anel de vedação da tampa do reservatório;sim
Anel do Intercooler;junta do intercooler, anel do turbo, anel de vedação;sim
Anel do Óleo do Motor;junta do cárter, anel do filtro de óleo, anel do pescador;sim
Anel do Oring;anel de borracha, junta torica, oring de vedação;sim
Anel do Parafuso da Tampa de Válvula;arruela do parafuso, anel do parafuso da tampa, junta do parafuso;sim
Anel do Pino da Sapata de Freio;anel do pino do calço de freio, anel de fixação, junta do pino;sim
Anel do Pino de Mola;anel elástico, junta do pino de mola, arruela do pino;sim
Anel do Pino do Patim de Freio;anel do pino da lona, anel de fixação, junta do pino;sim
Anel do Pivodo Limpador do Para-brisa;anel do pivô, junta do limpador, arruela do pivô;sim
Anel do Radiador;junta do radiador, anel de vedação, anel de borracha;sim
Anel do Resfrador de Óleo;junta do resfriador de óleo, anel de vedação, anel de borracha;sim
Anel do Respiro;anel do respirador, junta do respiro, anel de vedação;sim
Anel do Respiro da Tampa de Válvula;junta do respiro, anel do respirador da tampa de válvula, anel de vedação;sim
Anel do Respiro de Óleo;junta do respiro de óleo, anel de vedação, anel de borracha;sim
Anel do Retentor do Tubo D'água;anel do retentor da mangueira, anel de vedação, junta do tubo d'água;sim
Anel do Rotor D'água;junta do rotor, anel de vedação, anel de borracha;sim
Anel do Sensor do Nível de Óleo;anel do sensor de nível, anel de vedação, junta do sensor;sim
Anel do Tampão do sensor do Cárter;anel do tampão, junta do tampão do cárter, anel de vedação;sim
Anel do Termostato;junta do termostato, anel de vedação, anel de borracha;sim
Anel do Tubo da Vareta de Óleo;anel de vedação, anel de borracha, anel o-ring, anéis oring;sim
Anel do Tubo de Válvula EGR;anel de vedação, anel de borracha, anel o-ring, anéis oring;sim
Anel Grande do Anti-Chama;anel de vedação, anel de borracha, anel o-ring, anéis oring;sim
Anel Grande do Comando de Válvulas Escape;anel de vedação, anel de borracha, anel o-ring, anéis oring;sim
Anel Hidráulico;anel de vedação, anel de borracha, anel o-ring, anéis oring;sim
Anel Injetor;anel de vedação, anel de borracha, anel o-ring, anéis oring;sim
Anel Pino de Mola;anel de vedação, anel de borracha, anel o-ring, anéis oring;sim
Anel Protetor do Cabo do Acelerador;anel de vedação, anel de borracha, anel o-ring, anéis oring;sim
Anel Radiador de ar do Intercooler;anel de vedação, anel de borracha, anel o-ring, anéis oring;sim
Anel Radiador de Óleo do Cárter;anel de vedação, anel de borracha, anel o-ring, anéis oring;sim
Anel Sincronizador;sincronizado anel;sim
Anel Suporte do Filtro de Óleo;anel de vedação, anel de borracha, anel o-ring, anéis oring;sim
Anel Veadador do Parafuso da Tampa de Válvula;anel de vedação, anel de borracha, anel o-ring, anéis oring;sim
Anel Vedação do Bocal do Carburador do Filtro de Ar;anel de vedação, anel de borracha, anel o-ring, anéis oring;sim
Anel Vedação do Freio;anel de vedação, anel de borracha, anel o-ring, anéis oring;sim
Anel Vedador;anel de vedação, anel de borracha, anel o-ring, anéis oring;sim
Anteparo;chapa de reforço, suporte, reforço;sim
Anti Grade;grade antichamas, grade protetora, grade do radiador;sim
Anti-Chamas;defletor do motor, espuma filtro ar, respiro de oleo, separador de oleo, válvula pcv;sim
Aplique;revestimento, acabamento, detalhe;sim
Aro da Grade;moldura da grade, aro da máscara, aro do para-choque dianteiro;sim
Aro Guia Ventoinha com Ar;aro ventoinha, aro de refrigeração, aro de arrefecimento;sim
Arrastador do Comando do Trambulador;garra do comando do câmbio, gancho do trambulador, pinça do comando de marchas;sim
Arremate da Caixa de Roda;acabamento da caixa de roda, moldura do paralamas, friso da roda;sim
Arremate da Coluna;capa da coluna, revestimento da coluna, guarnição da coluna;sim
Arremate da Soleira do Porta-malas;moldura da soleira, friso da porta-malas, acabamento da soleira;sim
Arremate do Para-choque;acabamento do para-choque, moldura do para-choque, guarnição do para-choque;sim
Arremate Para-lama;moldura do paralama, acabamento do paralama, guarnição do paralama;sim
Arremete do Pé do Retrovissor;capa do retrovisor, guarnição do retrovisor, moldura do retrovisor;sim
Arruela da Alavanca de Câmbio;arruela de fixação, arruela do manche, arruela do comando do câmbio;sim
Arruela de Encosto;arruela de apoio, arruela de fixação, arruela de pressão;sim
Articulação Axial;junta axial, terminal axial, articulação de direção;sim
Articulação da Alavanca do Câmbio;junta da alavanca de marchas, terminal da alavanca de câmbio, articulação do comando do câmbio;sim
Articulação da Coluna de Direção;junta da coluna de direção, terminal da coluna de direção, articulação de direção;sim
Articulador com Trava;articulador de travamento, articulador com fechadura, articulador de segurança;sim
Articulador do Trambulador;articulador de marchas, articulador do câmbio, articulador de mudança;sim
Árvore da Junção da Caixa de Direção;eixo da caixa de direção, árvore de transmissão, árvore de direção;sim
Assento de Mola Alavanca do Câmbio;suporte da mola da alavanca do câmbio, assento da alavanca de marchas, base da mola do comando de câmbio;sim
Assento de Mola do Quadro de Suspensão;suporte da mola, assento da mola da suspensão, base da mola da suspensão;sim
Assento do Eixo;base do eixo, suporte do eixo, pivô do eixo;sim
Atuador Auxiliar do Câmbio;atuador de embreagem secundário, atuador do cambio auxiliar, atuador hidráulico secundário;sim
Atuador de Embreagem;atuador hidráulico da embreagem, atuador de embreagem hidráulico, atuador da embreagem;sim
Atuador do Câmbio;atuador de marchas, atuador de transmissão, atuador de velocidades;sim
Atuador do Came;atuador de válvula, atuador de admissão, atuador de escape;sim
Atuador do Pedal;atuador de freio, atuador de embreagem, atuador de acelerador;sim
Atuador Eletrohidráulico;atuador elétrico-hidráulico, atuador eletro-mecânico, atuador híbrido;sim
Avalanca do Câmbio;alavanca de marchas, manopla do câmbio, pomo do câmbio;sim
Avalanca Seletora do Câmbio;alavanca seletora, alavanca de mudança, alavanca de engate;sim
Balancim;balancim de válvula, balancim de árvore de comando, balancim de comando de válvulas;sim
Balancim de Admissão;balancim de entrada, balancim adm;sim
Balancim de Escape;balancim de saída, balancim de esc, balancim de escapamento;sim
Bandeja;braço da suspensão, suporte da suspensão, barra oscilante, balança;sim
Barra da Alavanca do Câmbio;haste da alavanca de mudança, varão do câmbio, cabo do câmbio;sim
Barra da Coluna de Direção;eixo da coluna de direção, haste da direção, tubo da direção;sim
Barra de Reação;barra de ligação, barra de torção, barra transversal;sim
Barra Estabilizadora;barra antirrolagem, barra de torção, barra de ligação;sim
Barra Paralela do Teto;longarina do teto, barra do teto, trilho do teto;sim
Base da Antena com Furo;base da antena com fenda, suporte da antena com orifício, base da antena com perfuração;sim
Base da Antena de Rádio;suporte da antena de rádio, base da antena de recepção, base da antena de transmissão;sim
Base da Coifa Alavanca do Câmbio;suporte da coifa da alavanca de mudança, base da coifa do câmbio, suporte da proteção do câmbio;sim
Base da Grade;suporte da grade, base do friso da grade, suporte da moldura da grade;sim
Base da Maçaneta;suporte da maçaneta, base do acionador da porta, base da alavanca da porta;sim
Base da Manopla da Alavanca do Câmbio;suporte da manopla do câmbio, base da pomo do câmbio, suporte da manopla da alavanca de mudança;sim
Base da Turbina;suporte da turbina, base do rotor da turbina, carcaça da turbina;sim
Base do Coxim do Motor;suporte do amortecedor do motor, base do coxim do motor, suporte do motor;sim
Base do Para-choque;suporte do para-choque, base do batente do para-choque, suporte do reforço do para-choque;sim
Base para Antena;suporte para antena, base para receptor de sinal, suporte para emissor de sinal;sim
Base para Antena de Teto;suporte para antena de teto, base para antena do teto solar, suporte para antena de telhado;sim
Batente Borracha da Mola de Suspensão;batente de borracha da mola, batente da mola helicoidal, batente da mola espiral;sim
Batente da Bandeja;batente do braço da suspensão, batente do suporte da suspensão, batente da barra oscilante;sim
Batente da Barra Estabilizadora;batente da barra antirrolagem, batente da barra de torção;sim
Batente da Bolsa de Ar;limitador da bolsa de ar, batente do airbag, batente do sistema de segurança;sim
Batente da Cabine;limitador da cabine, batente de apoio da cabine, batente da porta da cabine;sim
Batente da Mola;limitador da mola, batente do sistema de suspensão, batente da amortização;sim
Batente da Porta;limitador da porta, batente de apoio da porta, batente da fechadura;sim
Batente de Apoio da Cabine;limitador de apoio da cabine, batente de segurança da cabine, batente da porta de entrada;sim
Batente de Apoio do Protetor de Cárter;limitador de apoio do protetor de cárter, batente de segurança do motor, batente do sistema de proteção;sim
Batente de Suspensão;limitador de suspensão, batente do sistema de amortização, batente de apoio da suspensão;sim
Batente Deslizante da Porta Lateral;limitador deslizante da porta lateral, batente de segurança da porta deslizante, batente da porta de correr;sim
Batente do Amortecedor;limitador do amortecedor, batente do sistema de absorção de impactos, batente da suspensão;sim
Batente do Amortecedor de Cabine;limitador do amortecedor de cabine, batente do sistema de amortecimento da cabine, batente de segurança da cabine;sim
Batente do Banco;limitador do banco, batente do encosto do banco, batente de apoio do banco;sim
Batente do Calço de Mola;limitador do calço de mola, batente do sistema de apoio da mola, batente do suporte da mola;sim
Batente do Calço do Capô;limitador do calço do capô, batente de apoio do capô, batente de segurança do capô;sim
Batente do Capô;limitador do capô, batente de segurança do capô, batente de apoio do capô;sim
Batente do Eixo;limitador do eixo, batente de apoio do eixo, batente do sistema de suspensão do eixo;sim
Batente do Eixo da Suspensão;limitador do eixo da suspensão, batente de apoio do eixo da suspensão, batente do sistema de amortização do eixo;sim
Batente do Encosto do Banco;limitador do encosto do banco, batente de apoio do encosto do banco, batente do sistema de conforto do banco;sim
Batente do Escapamento;limitador do escapamento, batente de segurança do escapamento, batente do sistema de fixação do escapamento;sim
Batente do Fecho do Capô;batente de fechamento do capô, batente da trava do capô, batente da fechadura do capô;sim
Batente do Feixe de Mola;batente de suspensão de mola, batente de amortecimento de mola, batente de apoio de mola;sim
Batente do Filtro de Ar;batente do suporte do filtro de ar, batente de fixação do filtro de ar, batente do alojamento do filtro de ar;sim
Batente do Porta Luvas;batente de fechamento do porta-luvas, batente de abertura do porta-luvas, batente de sustentação do porta-luvas;sim
Batente do Porta-malas;batente de fechamento do porta-malas, batente de abertura do porta-malas, batente de apoio do porta-malas;sim
Batente do Quadro;batente de apoio do chassi, batente de proteção do chassi, batente de fixação do chassi;sim
Batente Estabilizador;batente de fixação do estabilizador, batente de apoio do estabilizador, batente de sustentação do estabilizador;sim
Batente Lateral da Tampa;batente de abertura lateral da tampa, batente de fechamento lateral da tampa, batente de sustentação lateral da tampa;sim
Batente Lateral do Capô;batente de abertura lateral do capô, batente de fechamento lateral do capô, batente de sustentação lateral do capô;sim
Batente Pastilha do Feixe de Molas;batente de amortecimento de feixe de molas, batente de fixação de pastilha de feixe de molas, batente de apoio de pastilha de feixe de molas;sim
Batente Truck Pneu;batente de suporte do pneu de caminhão, batente de proteção do pneu de caminhão, batente de amortecimento do pneu de caminhão;sim
Bateria;bateria automotiva, bateria de carro, acumulador automotivo, fonte de energia veicular;sim
Bendix Motor de Partida;impulsor de partida;sim
Bengala;garfo dianteiro, suporte de suspensão, perna da suspensão;sim
Bico da Bobina de Ignição;bico de vela de ignição, bico de vela, terminal da bobina;sim
Bico Injetor da Arla;injetor de ureia, bico da arla, dosador de ureia;sim
BIco Injetor da Partida Fria;injetor de partida a frio, válvula injetora de gasolina, válvula de afogador;sim
Bico Injetor de Combustível;injetor de gasolina, bico da injeção, dosador de combustível;sim
Bieleta;haste de ligação, pino esférico, tirante;sim
Bieleta Barra de Torção;haste da estabilizadora, haste da barra de torção, haste da estabilizadora;sim
Bieleta da Barra Estabilizadora;haste da estabilizadora, haste da barra estabilizadora, haste estabilizadora;sim
Bieleta Ligação Estabilizador;haste de ligação do estabilizador, haste do tirante do estabilizador, haste da barra estabilizadora;sim
Blindagem de Proteção do Para-lama;capa de proteção do para-lama, escudo protetor do para-lama, revestimento do para-lama;sim
Bloco Ótico;bloco óptico, farol bloco óptico, conjunto de iluminação;sim
Bloco Seletor;caixa seletora, câmbio, alavanca seletora;sim
Bobina de Ignição;transformador de ignição, bobina de alta, bobina de faísca, bobina asfáltica;sim
Bocal do Radiador de Ar;entrada de ar do radiador, saída de ar do radiador, boca do radiador;sim
Bocal Óleo de Motor;bocal de enchimento de óleo, boca do óleo do motor, entrada de óleo;sim
Bóia do Reservatório de Partida a Frio;sensor de nível do reservatório, boia da partida a frio, sensor de combustível;sim
Bóia do Tanque de Combustível;sensor de nível de combustível, boia do reservatório de gasolina, sensor de combustível do tanque;sim
Bóia Sensor do Tanque de Combustível;sensor de nível de combustível, boia do reservatório de gasolina, sensor de combustível do tanque;sim
Bola de Câmbio;manopla de câmbio, pomo de câmbio, alavanca de câmbio, empunhadura de câmbio, manopla alavanca câmbio, manopla para deficiente, pomo articulado, punho alavanca;sim
Bomba da Direção Hidráulica;bomba hidráulica, bomba de pressão, bomba de direção;sim
